timestamp,timestamp_sample,information_event_changes,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
441354336,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
442364340,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
443374185,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
444384338,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
445394334,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
446404186,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
447414181,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
448424340,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
449434327,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
450444351,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
451454329,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
452464179,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
453474194,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
454484202,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
455494343,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
456504326,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
457514339,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
458524333,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
459534340,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
460544347,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
461554183,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
462564329,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
463574338,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
